unnamed:_0.1,unnamed:_0,restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address
2043,2043,Eunoia,"Cafe, Bakery",3.4,24,4500,No,No,Cafe,Kammanahalli,Kalyan Nagar
2044,2044,Eurasia Pasta And Barbeque By Little Italy,"Casual Dining, Bar",4.0,1065,12000,Yes,Yes,Italian,Jayanagar,Jayanagar
2045,2045,Excelsior Bakery,Bakery,3.6,15,1000,No,No,Bakery,Brigade Road,Shivajinagar
2046,2046,Express Food Delivery,Delivery,2.8,38,5000,No,No,North Indian,Brigade Road,Ulsoor
2047,2047,Expresso Restaurant,"Takeaway, Delivery",3.5,4,4000,Yes,No,Fast Food,Brookefield,Whitefield
2048,2048,F Juice,Beverage Shop,2.8,40,2000,No,No,Juices,Kalyan Nagar,Kalyan Nagar
2049,2049,F3 Food Fun Fiesta,"Takeaway, Delivery",3.3,31,5000,Yes,No,Chinese,Bannerghatta Road,Bannerghatta Road
2050,2050,F5,Quick Bites,3.2,4,3000,No,No,North Indian,Whitefield,Whitefield
2051,2051,Faasos,Delivery,3.8,101,5000,Yes,No,North Indian,Brigade Road,Vasanth Nagar
2052,2052,Fab Cafe,Quick Bites,3.1,7,2500,No,No,Fast Food,Electronic City,Electronic City
2053,2053,Fabcafe,Cafe,2.8,40,8000,No,Yes,Cafe,Basavanagudi,Jayanagar
2054,2054,Fabelle Chocolate Boutique - Itc Gardenia,Dessert Parlor,4.5,232,12500,No,No,Desserts,Brigade Road,Richmond Road
2055,2055,Fabelle Chocolate Boutique - Itc Windsor,Dessert Parlor,4.2,59,12500,No,No,Desserts,Malleshwaram,Sankey Road
2056,2056,Fabindia Cafe,Cafe,4.2,221,2000,No,No,Cafe,"Byresandra,Tavarekere,Madiwala",Koramangala 2nd Block
2057,2057,Facebake,Bakery,3.7,68,3000,Yes,No,Bakery,Kammanahalli,Banaswadi
2058,2058,Fahad Hotel,Quick Bites,3.3,4,2000,No,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Jayanagar
2059,2059,Fai Dang,Casual Dining,3.3,33,11000,No,No,Asian,Old Airport Road,Indiranagar
2060,2060,Falafal,"Takeaway, Delivery",3.3,4,2000,Yes,No,Healthy Food,Basavanagudi,City Market
2061,2061,Falafel Bistro,Quick Bites,3.4,6,3000,No,No,Arabian,Koramangala 4Th Block,Koramangala 5th Block
2062,2062,Falafel'S - The Lebanese Haus,Quick Bites,2.9,53,3000,No,No,Lebanese,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
2063,2063,Falahaar,Quick Bites,3.9,154,2000,No,No,North Indian,Koramangala 4Th Block,Koramangala 6th Block
2064,2064,Falooda Cafe,Quick Bites,2.8,40,2000,Yes,No,Beverages,"Byresandra,Tavarekere,Madiwala",BTM
2065,2065,Familiar Food Court,Food Court,2.6,43,4000,No,No,Mughlai,Hsr,HSR
2066,2066,Families Food Court,Quick Bites,3.9,261,4000,Yes,No,North Indian,Hsr,HSR
2067,2067,Famous Dum Biriyani,Kiosk,3.1,6,2000,No,No,Biryani,Jayanagar,Wilson Garden
2068,2068,Fandom At Gilly'S Redefined,Bar,3.8,103,15000,No,No,Finger Food,"Byresandra,Tavarekere,Madiwala",Koramangala 4th Block
2069,2069,Fanoos,Quick Bites,3.9,132,4000,Yes,No,Arabian,Frazer Town,Frazer Town
2070,2070,Fanoos Xprss,Quick Bites,3.7,53,4000,Yes,No,Arabian,Basavanagudi,Jayanagar
2071,2071,Farha Real Taste Of Kerala,Quick Bites,3.1,6,3000,Yes,No,Kerala,Kalyan Nagar,Nagawara
2072,2072,Farzi Cafe,"Casual Dining, Microbrewery",4.4,2392,15000,No,No,Modern Indian,Brigade Road,Lavelle Road
2073,2073,Fashion Knack Cafe,Cafe,3.7,18,2500,No,No,Cafe,Brookefield,Whitefield
2074,2074,Fast And Fresh,Quick Bites,2.8,91,4000,Yes,No,North Indian,Banashankari,Banashankari
