unnamed:_0.1,unnamed:_0,restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address
0,0,#Feeltheroll,Quick Bites,3.4,7,2000,No,No,Fast Food,Bellandur,Bellandur
1,1,#L-81 Cafe,Quick Bites,3.9,48,4000,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",HSR
2,2,#Refuel,Cafe,3.7,37,4000,Yes,No,Cafe,Bannerghatta Road,Bannerghatta Road
3,3,'@ Biryani Central,Casual Dining,2.7,135,5500,Yes,No,Biryani,Marathahalli,Marathahalli
4,4,'@ The Bbq,Casual Dining,2.8,40,7000,Yes,No,Bbq,Bellandur,Bellandur
5,5,'@99,"Takeaway, Delivery",3.4,37,2000,No,No,Mughlai,Whitefield,Whitefield
6,6,'@Italy,Casual Dining,4.1,305,7000,Yes,No,Italian,Banashankari,Kumaraswamy Layout
7,7,'@North Parontha Hut,"Takeaway, Delivery",2.8,40,3000,No,No,North Indian,Indiranagar,Old Airport Road
8,8,1000 B.C,Quick Bites,3.2,49,3000,Yes,No,Arabian,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
9,9,100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,3.7,41,4500,No,No,Biryani,"Byresandra,Tavarekere,Madiwala",BTM
10,10,11 To 11 Express Biriyanis,Quick Bites,3.5,22,3000,Yes,No,Biryani,Electronic City,Electronic City
11,11,1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,15000,No,Yes,Continental,Old Airport Road,Indiranagar
12,12,12Th Main - Grand Mercure,Fine Dining,4.1,353,20000,No,Yes,European,"Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block
13,13,1441 Pizzeria,Casual Dining,4.1,119,8000,Yes,No,Pizza,Basavanagudi,JP Nagar
14,14,1522 - The Pub,Pub,4.2,1731,14000,Yes,No,Chinese,Malleshwaram,Malleshwaram
15,15,154 Breakfast Club,Cafe,4.0,1509,9000,Yes,Yes,Cafe,"Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block
16,16,1722 Urban Bistro,Casual Dining,4.1,218,6000,Yes,Yes,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
17,17,18+ Ice Cafe,Cafe,3.5,24,5500,No,No,Cafe,Kalyan Nagar,Kammanahalli
18,18,1947,Casual Dining,3.9,620,10000,No,Yes,North Indian,Rajajinagar,Rajajinagar
19,19,1980S Games Cafe,Cafe,3.4,58,4000,Yes,No,Cafe,Banashankari,Basavanagudi
20,20,1992 Chats - Space,Quick Bites,3.7,33,2000,Yes,No,Street Food,Malleshwaram,Rajajinagar
21,21,1Q1,"Casual Dining, Bar",4.3,595,25000,No,Yes,Asian,Brigade Road,Infantry Road
22,22,1To3 Kitchen,Delivery,3.1,11,8000,No,No,North Indian,Marathahalli,Marathahalli
23,23,2 Statez,Casual Dining,3.7,209,6000,Yes,No,Kerala,Kalyan Nagar,Kalyan Nagar
24,24,20 Char - Sterlings Mac Hotel,"Casual Dining, Bar",4.0,419,14000,Yes,Yes,Chinese,Indiranagar,Old Airport Road
25,25,20 Feet High,"Casual Dining, Bar",4.0,932,10000,Yes,Yes,American,Brigade Road,Church Street
26,26,21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,10000,No,No,Continental,Basavanagudi,Jayanagar
27,27,24 Carats - The Capitol,Casual Dining,3.1,46,10000,No,No,Asian,Brigade Road,Cunningham Road
28,28,24 Hours Cake Delivery,Delivery,3.3,4,7000,No,No,Bakery,Indiranagar,Old Airport Road
29,29,24 Hours Coffee Drop - La Classic,Cafe,3.4,9,8000,No,No,Cafe,Electronic City,Electronic City
30,30,24/7 - The Lalit Ashok Bangalore,Fine Dining,4.0,344,30000,No,Yes,Continental,Malleshwaram,Seshadripuram
31,31,24/7 Food Service,"Takeaway, Delivery",2.9,7,3000,Yes,No,South Indian,"Byresandra,Tavarekere,Madiwala",JP Nagar
32,32,24@43 - The Oterra,Fine Dining,4.1,268,30000,No,Yes,North Indian,Electronic City,Electronic City
33,33,24Th Main,Casual Dining,4.1,1234,8000,No,Yes,North Indian,Bannerghatta Road,JP Nagar
34,34,29 Degrees North,Quick Bites,3.9,283,2500,Yes,No,North Indian,Kalyan Nagar,Banaswadi
35,35,2Nd Home Restaurant,Quick Bites,3.7,21,5000,Yes,No,South Indian,"Byresandra,Tavarekere,Madiwala",BTM
36,36,3 Leafs,Casual Dining,3.7,128,6000,Yes,No,North Indian,Marathahalli,Kaggadasapura
37,37,3 Spice,Casual Dining,3.9,156,4500,Yes,No,North Indian,Koramangala 7Th Block,Wilson Garden
38,38,30 Square,Quick Bites,4.2,556,4000,Yes,No,Tibetan,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
39,39,360 Atoms Restaurant And Cafe,Cafe,3.1,13,4000,Yes,No,Cafe,Banashankari,Banashankari
40,40,36Th Cross Coffee Mane,Casual Dining,3.7,29,5000,No,No,North Indian,Jp Nagar,BTM
41,41,37 China Town,Casual Dining,3.5,58,9000,No,No,Chinese,Lavelle Road,Race Course Road
42,42,"3B'S - Buddies, Bar & Barbecues","Casual Dining, Bar",4.4,1149,11000,No,Yes,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
43,43,3G'S - Gulp & Groove,"Bar, Casual Dining",4.1,662,11000,Yes,Yes,Finger Food,Malleshwaram,Malleshwaram
44,44,3Rd Innings,"Casual Dining, Bar",3.0,17,10000,No,No,Burger,Electronic City,Electronic City
45,45,4 Mangoes,Kiosk,3.7,14,2000,No,No,Ice Cream,Indiranagar,Old Airport Road
46,46,4 Seasons Restaurant,Casual Dining,3.7,399,10000,Yes,Yes,North Indian,Kalyan Nagar,Kalyan Nagar
47,47,4 States,Food Court,3.2,4,4000,No,No,South Indian,Sarjapur Road,Bellandur
48,48,46 Ounces Brewgarden,Microbrewery,2.8,40,16000,No,Yes,Bar Food,Electronic City,Electronic City
49,49,4700Bc Popcorn,"Takeaway, Delivery",4.1,55,5000,No,No,Fast Food,Whitefield,Whitefield
50,50,4Foodiez,Quick Bites,3.6,82,3000,Yes,No,South Indian,Electronic City,Electronic City
51,51,4Foodiez - The Restaurant,Quick Bites,3.0,23,4000,No,No,Street Food,Electronic City,Electronic City
52,52,4K Biryani,Delivery,3.3,4,7000,Yes,No,North Indian,Hsr,HSR
53,53,4Th Tea Block,Cafe,4.0,62,1500,No,No,Cafe,Basavanagudi,Jayanagar
54,54,5 Star Food,Quick Bites,2.8,40,3000,Yes,No,South Indian,Frazer Town,Kammanahalli
55,55,50-50 Eating House,Quick Bites,3.2,4,1000,No,No,South Indian,Banashankari,Basavanagudi
56,56,52 Wall Street,"Bar, Casual Dining",3.9,737,14000,No,No,American,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
57,57,55 Wall Street,Bar,3.9,1763,13000,No,Yes,Finger Food,Bannerghatta Road,JP Nagar
58,58,56 Bhoga Sweets,"Takeaway, Delivery",3.6,51,1500,No,No,Mithai,Hsr,HSR
59,59,5Th Main Cafe,Cafe,3.5,15,2500,No,No,Cafe,"Byresandra,Tavarekere,Madiwala",HSR
60,60,7 Days Restaurant,Quick Bites,3.8,478,4000,Yes,No,North Indian,Electronic City,Electronic City
61,61,7 Degrees North,Casual Dining,3.5,11,5000,No,No,North Indian,Hsr,HSR
62,62,7 Hills Andhra Mess,Mess,3.4,8,3000,No,No,Andhra,Indiranagar,CV Raman Nagar
63,63,7 Plates,Casual Dining,3.5,531,6000,Yes,No,North Indian,Kammanahalli,Kalyan Nagar
64,64,7 Shanghai,Quick Bites,3.5,18,2500,Yes,No,Chinese,Electronic City,Electronic City
65,65,7 Spice,Quick Bites,3.4,5,2500,No,No,Biryani,Kalyan Nagar,Banaswadi
66,66,7 To 11 Food Court,Quick Bites,3.7,16,2000,Yes,No,Fast Food,Frazer Town,Banaswadi
67,67,70 Brigade - Iris Hotel,Casual Dining,3.9,105,10000,No,Yes,Chinese,Brigade Road,Brigade Road
68,68,7Biryanis,Casual Dining,3.2,4,6000,Yes,No,Andhra,Kalyan Nagar,Nagawara
69,69,7Th Heaven,Bakery,3.6,17,3000,No,No,Bakery,New Bel Road,New BEL Road
70,70,8 Slice,Delivery,3.7,74,6000,Yes,No,Pizza,Brigade Road,Koramangala 6th Block
71,71,9 Bowls,Quick Bites,2.8,40,5000,Yes,No,Healthy Food,Hsr,Koramangala 1st Block
72,72,90'S,Quick Bites,2.8,40,2000,No,No,North Indian,Hsr,HSR
73,73,90'S Beer Cafe - Hotel Millennium Plaza,Bar,3.0,7,10000,No,No,Finger Food,Electronic City,Electronic City
74,74,90'S Cafe,Quick Bites,2.8,40,5000,No,No,Fast Food,Jayanagar,JP Nagar
75,75,99 Caffe,Quick Bites,3.6,106,2500,Yes,No,South Indian,Brookefield,Brookefield
76,76,99 Pancakes,Dessert Parlor,4.1,41,1500,Yes,No,Desserts,Brigade Road,Church Street
77,77,99 Variety Dosa & Pav Bhaji,Quick Bites,3.8,16,2500,Yes,No,South Indian,Koramangala 5Th Block,Koramangala 6th Block
78,78,99 Variety Dosa And Pav Bhaji,Quick Bites,4.0,101,2500,Yes,No,South Indian,"Byresandra,Tavarekere,Madiwala",HSR
79,79,99 Variety Dose-Biryanis-Starters,"Takeaway, Delivery",2.8,40,3000,Yes,No,South Indian,Hsr,HSR
80,80,99Foods,Quick Bites,3.4,32,4000,No,No,Biryani,Marathahalli,Marathahalli
81,81,9D Foods,Quick Bites,4.0,458,4000,Yes,No,North Indian,Brookefield,Marathahalli
82,82,9Th Cross Cafe,Cafe,3.6,12,5500,No,No,Cafe,Indiranagar,Jeevan Bhima Nagar
83,83,A 1 Pizza And Food,Delivery,2.8,211,3000,Yes,No,Pizza,Indiranagar,Old Airport Road
84,84,A Bar,Bar,3.3,19,6000,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",HSR
85,85,A Hole Lotta Love Cafe,Cafe,4.3,2871,6000,Yes,No,Cafe,Koramangala 4Th Block,Koramangala 5th Block
86,86,A Little For Love,Bakery,3.4,12,3500,No,No,Bakery,Kalyan Nagar,Hennur
87,87,A M Biryani Hotel,Quick Bites,3.3,6,3000,Yes,No,North Indian,Bannerghatta Road,Bannerghatta Road
88,88,A Southern Fair,Casual Dining,3.0,19,7500,Yes,No,Biryani,Whitefield,Whitefield
89,89,A Today Thick Shakes,Beverage Shop,3.2,9,2000,No,No,Beverages,Jayanagar,Koramangala 5th Block
90,90,A.M New Punjab Food Corner,Quick Bites,3.5,21,3500,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
91,91,A1 Ambur Dum Biryani And Parota Centre,Quick Bites,3.2,4,3000,No,No,Biryani,Rajajinagar,Basaveshwara Nagar
92,92,A1 Biriyani Point,Quick Bites,3.0,10,2000,No,No,Biryani,Malleshwaram,Seshadripuram
93,93,A1 Garam Masala,Casual Dining,3.6,25,5000,Yes,No,North Indian,Jp Nagar,Kanakapura Road
94,94,A1 Hot Dum Biryani,Quick Bites,3.2,4,1500,No,No,Biryani,Whitefield,Whitefield
95,95,A1 Spice Inn,Casual Dining,3.5,46,5000,No,No,Biryani,Malleshwaram,Yeshwantpur
96,96,A2B - Adyar Ananda Bhavan,Casual Dining,2.5,544,4000,Yes,No,South Indian,Whitefield,Whitefield
97,97,A2B Veg - Adyar Ananda Bhavan,Casual Dining,2.7,97,4000,Yes,No,South Indian,Basavanagudi,Basavanagudi
98,98,A3 Nuwang Kitchen,Quick Bites,3.7,42,3000,Yes,No,Chinese,Indiranagar,Ejipura
99,99,Aaccord Restaurant,Casual Dining,2.8,40,6000,No,No,Continental,"Byresandra,Tavarekere,Madiwala",BTM
100,100,Aadhya Hotel,"Casual Dining, Bar",3.3,5,8000,Yes,No,South Indian,Banashankari,Basavanagudi
101,101,Aadvik Nightfood,Delivery,3.6,22,3500,Yes,No,Fast Food,Frazer Town,Frazer Town
102,102,Aagaman Veg,Casual Dining,2.8,40,9000,Yes,No,North Indian,Electronic City,Electronic City
103,103,Aaha,Quick Bites,3.6,93,3000,Yes,No,North Indian,Marathahalli,Brookefield
104,104,Aaha Andhra,Casual Dining,3.4,58,9000,No,No,Andhra,Marathahalli,Marathahalli
106,106,Aahar Vihar,Quick Bites,4.0,68,2500,Yes,No,North Indian,Brookefield,Marathahalli
107,107,Aahara Vihar,Quick Bites,3.5,13,3000,No,No,South Indian,Malleshwaram,Malleshwaram
108,108,Aaharam,Quick Bites,4.0,65,3500,No,No,Chinese,Hsr,Koramangala 1st Block
109,109,Aalishan Restaurant & Caterer,Casual Dining,3.5,888,6500,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
110,110,Aami Bangali,Casual Dining,3.0,66,7000,Yes,No,Bengali,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
111,111,Aami Kolkata,Delivery,3.3,5,6000,No,No,Bengali,Bannerghatta Road,Bannerghatta Road
112,112,Aao G Khao G,Quick Bites,3.5,11,2000,Yes,No,North Indian,Hsr,HSR
113,113,Aapni Rasoi,Quick Bites,3.2,127,4000,Yes,No,North Indian,Bellandur,Bellandur
114,114,Aaranya Restaurant,Casual Dining,3.4,212,8000,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",HSR
115,115,Aarti Paratha & Rolls Corner,Quick Bites,3.6,15,2000,Yes,No,North Indian,New Bel Road,New BEL Road
116,116,Aarya Pork Hotel,Quick Bites,3.3,11,3000,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",BTM
117,117,Aashirvaad Restaurant,Quick Bites,3.1,249,3000,Yes,No,North Indian,Brookefield,Marathahalli
118,118,Aashish Foods,Quick Bites,2.7,35,1500,Yes,No,North Indian,Brookefield,Brookefield
119,119,Aasife & Brothers Biriyani Centre,Casual Dining,3.8,120,6000,Yes,No,Biryani,"Byresandra,Tavarekere,Madiwala",HSR
120,120,Aastha Bengali Mess,Quick Bites,3.9,131,2500,Yes,No,Chinese,Malleshwaram,Yeshwantpur
121,121,Aata'S Kitchen,Quick Bites,2.8,40,2500,Yes,No,South Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
122,122,Aathithya,Casual Dining,3.1,16,11000,No,No,North Indian,Brigade Road,Infantry Road
123,123,Aathurar,Casual Dining,3.2,574,6000,Yes,No,Chettinad,Indiranagar,Jeevan Bhima Nagar
124,124,Abbabi Chicken,Quick Bites,3.7,134,2000,No,No,Fast Food,Sarjapur Road,Bellandur
125,125,Abc Grand,Casual Dining,3.5,54,4000,No,No,Andhra,Old Airport Road,Indiranagar
126,126,Abhiruchi,Casual Dining,3.8,164,6500,No,No,Andhra,Kalyan Nagar,Kammanahalli
127,127,Abhiruchi Andhra Mess,Mess,3.1,61,3000,Yes,No,Andhra,Whitefield,Whitefield
128,128,Abhiruchi Hotel,Casual Dining,3.2,12,5000,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Bommanahalli
129,129,Abhiruchi Moonlight,"Takeaway, Delivery",3.3,4,3000,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Bommanahalli
130,130,Abhiruchi Restaurant,Casual Dining,3.4,5,4000,Yes,No,Andhra,Bellandur,Sarjapur Road
131,131,Ab'S - Absolute Barbecues,Casual Dining,4.6,1502,14000,No,Yes,European,Kalyan Nagar,Kalyan Nagar
132,132,Absolute Chinese,Quick Bites,3.8,209,4500,Yes,No,Chinese,Malleshwaram,Rajajinagar
133,133,Absolute Shawarma,"Takeaway, Delivery",2.8,40,1500,Yes,No,Lebanese,Brookefield,Brookefield
134,134,Absolute Waffles,Dessert Parlor,3.9,49,2000,Yes,No,Desserts,Malleshwaram,New BEL Road
135,135,Aburrahaman,Delivery,2.8,40,4000,No,No,North Indian,Indiranagar,Thippasandra
136,136,Abzain Paradise,Quick Bites,2.9,42,3000,No,No,North Indian,New Bel Road,Sanjay Nagar
137,137,Achayyan'S,Quick Bites,3.8,405,3500,Yes,No,Kerala,Indiranagar,Indiranagar
138,138,Ackley Kitchen,Quick Bites,3.6,33,5000,Yes,No,Fast Food,Marathahalli,Kaggadasapura
139,139,Adarsh Bakery,Bakery,3.1,10,3000,No,No,Bakery,Electronic City,Electronic City
140,140,Adda,Quick Bites,3.3,5,3000,No,No,South Indian,Basavanagudi,Shanti Nagar
141,141,Addhuri Udupi Bhojana,Quick Bites,3.7,88,3000,No,No,South Indian,Banashankari,Banashankari
142,142,Adiga'S,Quick Bites,3.3,55,1500,No,No,South Indian,Basavanagudi,Jayanagar
143,143,Adi'S Cake N Cafe,Bakery,3.3,4,4000,No,No,Bakery,"Byresandra,Tavarekere,Madiwala",Bannerghatta Road
144,144,Adithya,Casual Dining,3.9,178,4500,Yes,No,South Indian,Bannerghatta Road,JP Nagar
145,145,Adithya Family Restaurant,Quick Bites,3.7,27,2500,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",BTM
146,146,Adithya Tiffin Centre,"Takeaway, Delivery",2.8,40,2000,No,No,North Indian,Brigade Road,Shanti Nagar
147,147,Adithya Veg,Quick Bites,3.3,10,3000,No,No,South Indian,Basavanagudi,Jayanagar
148,148,Aditya Delights,Quick Bites,3.7,59,3000,No,No,Chinese,New Bel Road,New BEL Road
149,149,Aditya Sweets,Sweet Shop,3.7,21,2000,Yes,No,Mithai,Brookefield,Whitefield
150,150,Aditya Uphar,Quick Bites,3.5,30,2000,No,No,South Indian,Jp Nagar,JP Nagar
151,151,Adukkala Restaurant,Casual Dining,2.9,128,6000,Yes,No,Kerala,Kammanahalli,Banaswadi
152,152,Adupadi,Quick Bites,2.9,25,4500,No,No,South Indian,Whitefield,Whitefield
153,153,Advika Briyani Center,Delivery,3.2,10,3000,No,No,Biryani,Jp Nagar,JP Nagar
154,154,Adya Hotel,Quick Bites,3.3,4,4000,No,No,South Indian,Electronic City,Electronic City
155,155,Adyar Anand Bhavan Sweets,Quick Bites,2.8,40,2000,No,No,South Indian,Electronic City,Electronic City
156,156,Adyar Ananda Bhavan - Sweets,"Takeaway, Delivery",3.4,6,2000,Yes,No,Mithai,"Byresandra,Tavarekere,Madiwala",BTM
157,157,Adyar Ananda Bhavan Sweets,"Takeaway, Delivery",3.6,4,2000,Yes,No,Mithai,Jp Nagar,JP Nagar
158,158,Afghani Tandoori Hub,Quick Bites,3.6,14,4000,Yes,No,Arabian,"Byresandra,Tavarekere,Madiwala",BTM
159,159,Afoozoo - Ginger Hotel,Casual Dining,3.5,40,8000,No,No,North Indian,Brookefield,Whitefield
160,160,Afrina'S Kitchen,"Takeaway, Delivery",3.4,9,2500,Yes,No,Fast Food,Frazer Town,Kammanahalli
161,161,Agarwal Food Service,Delivery,3.5,16,4000,Yes,No,North Indian,Hsr,HSR
162,162,Agent Jack'S Bar,Bar,4.0,377,13000,No,Yes,Continental,Kalyan Nagar,Kalyan Nagar
163,163,Agraharaa,Quick Bites,2.8,40,1500,No,No,South Indian,Koramangala 4Th Block,Koramangala 6th Block
164,164,Agraharam Meal,"Takeaway, Delivery",3.7,61,3000,No,No,North Indian,Marathahalli,Kaggadasapura
165,165,Aha Juice Bar,Beverage Shop,3.6,13,2000,No,No,Beverages,Bannerghatta Road,BTM
166,166,Ahaan Restaurant,Delivery,2.8,76,3000,Yes,No,North Indian,Frazer Town,RT Nagar
167,167,Ahimsaamrit Green Cafe,Casual Dining,3.4,9,8000,No,No,Healthy Food,Indiranagar,Indiranagar
168,168,Ahmad'S Chicken Hut,Quick Bites,3.2,9,2000,No,No,North Indian,Kalyan Nagar,Banaswadi
169,169,Ahmed'S Little Hut,Quick Bites,2.8,40,2500,Yes,No,Fast Food,Bannerghatta Road,BTM
170,170,Ahmeds Takeaway Restaurant,"Takeaway, Delivery",2.8,40,2500,No,No,North Indian,Frazer Town,Frazer Town
171,171,Aioli,Casual Dining,4.2,783,14000,No,Yes,Mediterranean,Kalyan Nagar,Kalyan Nagar
172,172,Airlines Hotel,Quick Bites,4.0,867,4000,Yes,No,South Indian,Brigade Road,Lavelle Road
174,174,Aishwarya,Dhaba,3.3,6,4500,No,No,Chinese,Whitefield,Whitefield
175,175,Aishwarya Parkland,Casual Dining,2.9,59,5000,No,No,Chinese,Bannerghatta Road,Bannerghatta Road
176,176,Aishwarya Sweets,Sweet Shop,3.6,24,2500,Yes,No,Mithai,Malleshwaram,Rajajinagar
177,177,Aishwarya Uphar,Quick Bites,2.8,40,1500,No,No,South Indian,Brigade Road,Ulsoor
178,178,Ajwa Thalassery Biryani,Quick Bites,3.9,42,5000,Yes,Yes,Biryani,Bellandur,Sarjapur Road
179,179,Akkad Bakkad,Casual Dining,3.9,72,6000,Yes,Yes,North Indian,Electronic City,Electronic City
180,180,Aks Family Dhaba And Restaurant,Quick Bites,3.6,40,5000,Yes,No,North Indian,Marathahalli,Marathahalli
181,181,Akshara,Casual Dining,3.8,42,7000,Yes,No,North Indian,Electronic City,Electronic City
182,182,Akshatha Nati Style,Quick Bites,3.7,20,5000,No,No,South Indian,Rajajinagar,Vijay Nagar
183,183,Akshaya Bar And Restaurant,"Casual Dining, Bar",2.8,40,6000,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
184,184,Akshaya Biryani,Quick Bites,3.6,20,3000,Yes,No,Biryani,Bellandur,Sarjapur Road
185,185,Akshaya Deluxe,Casual Dining,4.0,336,5000,Yes,No,North Indian,New Bel Road,New BEL Road
186,186,Akshaya Donne Biriyani,Quick Bites,3.0,39,3000,Yes,No,Biryani,Jp Nagar,JP Nagar
187,187,Akshaya Family Restaurant,Quick Bites,3.2,4,1500,Yes,No,South Indian,Kalyan Nagar,Banaswadi
188,188,Akshaya Grand,Casual Dining,3.4,29,7500,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
189,189,Akshaya Sambrama Veg Restaurant,Quick Bites,3.2,13,2000,No,No,South Indian,Church Street,Vasanth Nagar
190,190,Akss - India Reimagined,Casual Dining,4.2,258,18000,No,Yes,Modern Indian,Malleshwaram,Sadashiv Nagar
191,191,Al Amal Cafe,"Cafe, Quick Bites",4.0,74,3000,No,No,Cafe,Kalyan Nagar,Kammanahalli
192,192,Al Amanah Cafe,Quick Bites,4.4,1413,3000,Yes,No,Middle Eastern,Frazer Town,Kammanahalli
193,193,Al Ameen Rolls Corner,Quick Bites,3.7,16,2000,No,No,Rolls,Kalyan Nagar,Kammanahalli
194,194,Al Barack Cafetaria,Quick Bites,3.6,20,3000,No,No,Arabian,Kalyan Nagar,Banaswadi
195,195,Al Daaz,Casual Dining,4.2,567,5500,Yes,No,North Indian,Bellandur,HSR
196,196,Al Diwan Biryanis And More,"Takeaway, Delivery",3.2,12,3000,Yes,No,Biryani,Jayanagar,Basavanagudi
197,197,Al Ghani Resetaurant,Quick Bites,3.3,4,4000,No,No,Mughlai,Kammanahalli,Kammanahalli
198,198,Al Habibi Restaurant,Quick Bites,3.5,17,3000,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
199,199,Al Hayath,Quick Bites,3.5,16,2000,No,No,North Indian,Koramangala 5Th Block,BTM
200,200,Al Hayath Ambur Biryani,Quick Bites,3.3,9,2000,No,No,Biryani,Koramangala 4Th Block,Ejipura
201,201,Al Karim,Casual Dining,3.7,90,4000,No,No,Mughlai,Kammanahalli,Kalyan Nagar
202,202,Al Khaleej Snacks Corner,Quick Bites,2.8,40,2000,No,No,Lebanese,Basavanagudi,Jayanagar
203,203,Al Khansah,Casual Dining,3.9,370,5500,Yes,No,Biryani,Bellandur,Bellandur
204,204,Al Khwaja,Casual Dining,3.0,13,4000,No,No,North Indian,Bellandur,Bellandur
205,205,Al Madhina Roll House,Quick Bites,3.4,6,3000,No,No,North Indian,Kammanahalli,Kalyan Nagar
206,206,Al Madina Family Restaurant,Quick Bites,2.8,40,5000,No,No,North Indian,Basavanagudi,City Market
207,207,Al Madina Roll House,Quick Bites,3.6,16,1500,Yes,No,Biryani,Kalyan Nagar,Kalyan Nagar
208,208,Al Manar,Quick Bites,2.8,40,4000,No,No,South Indian,Koramangala 7Th Block,Wilson Garden
209,209,Al Noor,Quick Bites,3.7,21,3500,No,No,North Indian,Brigade Road,Shivajinagar
210,210,Al Sadique,Quick Bites,3.9,185,4500,Yes,No,North Indian,Rajajinagar,Magadi Road
211,211,Al Sadique Restaurant,Quick Bites,3.4,32,3500,No,No,Mughlai,Mg Road,Frazer Town
212,212,Al Swaad Take Away,Quick Bites,3.1,12,3500,Yes,No,North Indian,Brigade Road,Richmond Road
213,213,Al Taj Fast Food,Quick Bites,3.2,4,6000,Yes,No,Fast Food,Rajajinagar,Vijay Nagar
214,214,Al Zaiqa Hotel,Quick Bites,3.4,14,2000,Yes,No,Chinese,Marathahalli,Marathahalli
215,215,Alampur Bar And Restaurant,Casual Dining,3.7,42,9000,Yes,No,Chinese,Brigade Road,Race Course Road
216,216,Alankar Restaurant,Casual Dining,2.8,40,8000,No,No,South Indian,Marathahalli,Marathahalli
217,217,Alankrutha,Casual Dining,3.8,260,5000,Yes,No,Andhra,Koramangala 5Th Block,BTM
218,218,Alba - Jw Marriott Bengaluru,Fine Dining,4.4,561,40000,No,Yes,Italian,Church Street,Lavelle Road
219,219,Al-Badia Restaurant,Casual Dining,4.2,89,7000,No,No,Arabian,Kalyan Nagar,Kammanahalli
220,220,Al-Baik Kabab Corner,Quick Bites,3.2,25,3500,Yes,No,Kebab,Malleshwaram,Yeshwantpur
221,221,Al-Baik Tandoori Restaurant,Quick Bites,3.6,113,4500,Yes,No,North Indian,Frazer Town,Nagawara
222,222,Al-Bek,Casual Dining,3.9,682,6500,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Jayanagar
223,223,Albert Bakery,Bakery,4.3,346,1500,No,No,Bakery,Frazer Town,Frazer Town
224,224,Alchemy - The Chancery Pavilion,"Microbrewery, Casual Dining",4.3,446,20000,No,Yes,Modern Indian,Brigade Road,Residency Road
225,225,Alchemy Coffee Roasters,Cafe,4.2,704,5000,No,No,Cafe,Basavanagudi,Jayanagar
226,226,Alfa Family Restaurant,Casual Dining,3.0,27,4000,No,No,North Indian,Basavanagudi,Wilson Garden
227,227,Alfresco By Bene -Sheraton Grand Bangalore Hotel At...,"Bar, Casual Dining",3.7,77,20000,No,Yes,Continental,Malleshwaram,Malleshwaram
229,229,Ali Snacks Point,Quick Bites,3.4,5,1500,Yes,No,Chinese,Malleshwaram,Malleshwaram
230,230,Alibaba Cafe And Restaurant,Casual Dining,2.9,55,7000,No,No,Arabian,Kammanahalli,Kalyan Nagar
231,231,Alibi - Maya International Hotel,Casual Dining,1.8,224,12000,No,No,North Indian,Brigade Road,Church Street
232,232,Aliensip,Beverage Shop,3.6,11,2000,Yes,No,Juices,Bannerghatta Road,BTM
233,233,Alif Restaurant,Casual Dining,3.6,26,6000,Yes,No,North Indian,Bannerghatta Road,JP Nagar
234,234,Aligarh House,Delivery,4.4,98,4000,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala
235,235,Alikemom,"Takeaway, Delivery",2.8,40,3000,Yes,No,North Indian,Electronic City,Electronic City
236,236,All Aromas,Quick Bites,2.8,40,4000,Yes,No,North Indian,Basavanagudi,Jayanagar
237,237,All Saints Bakery,Bakery,3.6,23,2000,No,No,Bakery,Brigade Road,Brigade Road
238,238,All Shook Up,"Dessert Parlor, Beverage Shop",3.6,34,3000,Yes,No,Desserts,Brookefield,Marathahalli
239,239,All Shook Up!,"Dessert Parlor, Beverage Shop",3.6,19,3000,Yes,No,Desserts,Malleshwaram,Rajajinagar
240,240,Allahabadi Tadaka,Casual Dining,2.9,46,2500,No,No,North Indian,Indiranagar,Domlur
241,241,Allana Kabab,Quick Bites,3.3,4,2000,No,No,North Indian,Church Street,Richmond Road
